ID	Condition	Trial	TrialPosition	LookingTime	SaccLatency	pred	notpred
3	Con	10	19	3258.333333	1291.666667	0	1
3	Con	11	21	3391.666667	1316.666667	0	1
3	Con	12	23	3491.666667	1325	0	1
36	Soc	1	2	1375	1175	1	0
36	Soc	2	3	1650	850	1	0
36	Soc	3	6	1475	1216.666667	0	1
36	Soc	4	8	1650	1266.666667	0	1
36	Soc	5	9	1441.666667	8.333333333	1	0
36	Soc	6	11	1141.666667	291.6666667	1	0
36	Soc	7	13	2050	1325	0	1
36	Soc	8	16	350	1158.333333	1	0
36	Soc	9	18	766.6666667	1241.666667	0	1
36	Soc	10	20	208.3333333	1558.333333	0	1
36	Soc	11	21	NA	NA	NA	NA
36	Soc	12	24	825	1466.666667	0	1
36	Con	1	1	1500	1466.666667	0	1
36	Con	2	4	691.6666667	1666.666667	0	1
36	Con	3	5	1691.666667	1350	0	1
36	Con	4	7	950	1533.333333	0	1
36	Con	5	10	316.6666667	NA	NA	NA
36	Con	6	12	1033.333333	1233.333333	0	1
36	Con	7	14	1416.666667	1191.666667	1	0
36	Con	8	15	900	775	1	0
36	Con	9	17	850	NA	NA	NA
36	Con	10	19	1050	1200	1	0
36	Con	11	22	1941.666667	983.3333333	1	0
36	Con	12	23	1433.333333	1208.333333	0	1
5	Soc	1	2	3875	833.3333333	1	0
5	Soc	2	4	3908.333333	791.6666667	1	0
5	Soc	3	5	3991.666667	725	1	0
5	Soc	4	8	4050	683.3333333	1	0
5	Soc	5	10	3991.666667	691.6666667	1	0
5	Soc	6	11	4258.333333	433.3333333	1	0
5	Soc	7	14	3966.666667	766.6666667	1	0
5	Soc	8	15	2883.333333	866.6666667	1	0
5	Soc	9	18	3366.666667	691.6666667	1	0
5	Soc	10	21	416.6666667	NA	NA	NA
5	Soc	11	23	3191.666667	691.6666667	1	0
5	Soc	12	24	3675	808.3333333	1	0
5	Con	1	1	3208.333333	1391.666667	0	1
5	Con	2	3	3175	1516.666667	0	1
5	Con	3	6	3208.333333	1516.666667	0	1
5	Con	4	7	3333.333333	1366.666667	0	1
5	Con	5	9	3291.666667	1466.666667	0	1
5	Con	6	12	3333.333333	1366.666667	0	1
5	Con	7	13	3250	1383.333333	0	1
5	Con	8	16	1875	1233.333333	0	1
5	Con	9	17	3466.666667	1308.333333	0	1
5	Con	10	19	1325	NA	NA	NA
5	Con	11	20	NA	NA	NA	NA
5	Con	12	22	NA	NA	NA	NA
6	Soc	1	2	2333.333333	1266.666667	0	1
6	Soc	2	3	2808.333333	1241.666667	0	1
6	Soc	3	5	3500	1258.333333	0	1
6	Soc	4	7	1900	1333.333333	0	1
6	Soc	5	9	3500	1291.666667	0	1
6	Soc	6	11	2333.333333	1208.333333	0	1
6	Soc	7	14	2775	1208.333333	0	1
6	Soc	8	16	NA	NA	NA	NA
6	Soc	9	17	2100	1225	0	1
6	Soc	10	19	1533.333333	1233.333333	0	1
6	Soc	11	22	2375	1258.333333	0	1
