ID	SocCue_SocAOI	SocCue_ConAOI	ConCue_SocAOI	ConCue_ConAOI	SocCue_SocProp	SocCue_ConProp	ConCue_SocProp	ConCue_ConProp
2	7	1	0	10	0.875	0.125	0	1
3	0	11	3	9	0	1	0.25	0.75
36	8	3	5	7	0.727272727	0.272727273	0.416666667	0.583333333
5	12	0	10	0	1	0	1	0
6	11	0	0	12	1	0	0	1
7	8	3	3	8	0.727272727	0.272727273	0.272727273	0.727272727
8	11	0	11	1	1	0	0.916666667	0.083333333
9	11	1	1	11	0.916666667	0.083333333	0.083333333	0.916666667
11	9	3	9	3	0.75	0.25	0.75	0.25
12	9	1	7	3	0.9	0.1	0.7	0.3
13	10	1	0	12	0.909090909	0.090909091	0	1
14	2	10	3	9	0.166666667	0.833333333	0.25	0.75
16	10	2	0	12	0.833333333	0.166666667	0	1
17	10	1	0	9	0.909090909	0.090909091	0	1
19	6	6	2	10	0.5	0.5	0.166666667	0.833333333
20	12	0	8	4	1	0	0.666666667	0.333333333
21	10	1	9	2	0.909090909	0.090909091	0.818181818	0.181818182
22	12	0	7	5	1	0	0.583333333	0.416666667
23	10	0	1	11	1	0	0.083333333	0.916666667
24	7	5	3	9	0.583333333	0.416666667	0.25	0.75
26	0	11	1	11	0	1	0.083333333	0.916666667
27	12	0	7	5	1	0	0.583333333	0.416666667
28	9	3	1	11	0.75	0.25	0.083333333	0.916666667
29	8	4	0	12	0.666666667	0.333333333	0	1
30	11	1	0	12	0.916666667	0.083333333	0	1
31	2	10	2	10	0.166666667	0.833333333	0.166666667	0.833333333
32	9	3	1	11	0.75	0.25	0.083333333	0.916666667
33	7	5	1	10	0.583333333	0.416666667	0.090909091	0.909090909
34	9	0	0	9	1	0	0	1
35	7	5	1	10	0.583333333	0.416666667	0.090909091	0.909090909
37	0	12	1	10	0	1	0.090909091	0.909090909
38	12	0	4	8	1	0	0.333333333	0.666666667
