ID	Condition	pred	nonpred	total_valid	Prop_pred
2	Soc	1	7	8	0.125
2	Con	1	9	10	0.1
3	Soc	7	4	11	0.636363636
3	Con	0	12	12	0
36	Soc	5	6	11	0.454545455
36	Con	4	6	10	0.4
5	Soc	11	0	11	1
5	Con	0	9	9	0
6	Soc	0	11	11	0
6	Con	2	10	12	0.166666667
7	Soc	8	3	11	0.727272727
7	Con	7	2	9	0.777777778
8	Soc	7	4	11	0.636363636
8	Con	1	10	11	0.090909091
9	Soc	0	8	8	0
9	Con	2	9	11	0.181818182
11	Soc	11	1	12	0.916666667
11	Con	2	10	12	0.166666667
12	Soc	9	1	10	0.9
12	Con	0	10	10	0
13	Soc	1	10	11	0.090909091
13	Con	4	8	12	0.333333333
14	Soc	8	4	12	0.666666667
14	Con	0	12	12	0
16	Soc	1	11	12	0.083333333
16	Con	4	7	11	0.363636364
17	Soc	1	10	11	0.090909091
17	Con	0	8	8	0
19	Soc	3	9	12	0.25
19	Con	7	5	12	0.583333333
20	Soc	7	5	12	0.583333333
20	Con	1	11	12	0.083333333
21	Soc	8	2	10	0.8
21	Con	0	11	11	0
22	Soc	1	11	12	0.083333333
22	Con	2	10	12	0.166666667
23	Soc	3	7	10	0.3
23	Con	0	12	12	0
24	Soc	0	11	11	0
24	Con	2	9	11	0.181818182
26	Soc	9	1	10	0.9
26	Con	0	11	11	0
27	Soc	10	1	11	0.909090909
27	Con	0	12	12	0
28	Soc	6	6	12	0.5
28	Con	1	10	11	0.090909091
29	Soc	0	12	12	0
29	Con	3	7	10	0.3
30	Soc	5	7	12	0.416666667
30	Con	1	11	12	0.083333333
31	Soc	10	2	12	0.833333333
31	Con	5	7	12	0.416666667
32	Soc	4	8	12	0.333333333
32	Con	1	11	12	0.083333333
33	Soc	3	9	12	0.25
33	Con	2	9	11	0.181818182
34	Soc	0	8	8	0
34	Con	1	8	9	0.111111111
35	Soc	1	10	11	0.090909091
35	Con	7	4	11	0.636363636
37	Soc	12	0	12	1
37	Con	0	11	11	0
38	Soc	8	4	12	0.666666667
38	Con	2	10	12	0.166666667
