ID	ConBeta	SocBeta	DiffBeta	MedianGroup	relCirPre.mean	relTriPre.mean	relSocPre.mean	relConPre.mean	relCirPost.mean	relTriPost.mean	relSocPost.mean	relConPost.mean
2	0.5128	-106.54	107.0528	1	0.612487672583826	0.387512327416174	0.387512327416174	0.612487672583826	0.656590846117031	0.343409153882969	0.343409153882969	0.656590846117031
3	-34.88	-267.55	232.67	1	0.659919028340081	0.340080971659919	0.340080971659919	0.659919028340081	0.569615414022479	0.430384585977521	0.430384585977521	0.569615414022479
36	-170.92	194.7	-365.62	2	NA	NA	NA	NA	0.692094593037989	0.307905406962011	0.692094593037989	0.307905406962011
5	-88	-2.408	-85.592	2	0.54465142107123	0.45534857892877	0.54465142107123	0.45534857892877	0.571135411948494	0.428864588051506	0.571135411948494	0.428864588051506
6	70.24	1.24	69	1	0.490084670231729	0.509915329768271	0.490084670231729	0.509915329768271	0.718422169668304	0.281577830331696	0.718422169668304	0.281577830331696
7	-36.42	50.87	-87.29	2	0.487619528244385	0.512380471755615	0.512380471755615	0.487619528244385	0.668989547038328	0.331010452961672	0.331010452961672	0.668989547038328
8	17.4	77.72	-60.32	2	0.684368289191124	0.315631710808876	0.684368289191124	0.315631710808876	0.535728846862336	0.464271153137664	0.535728846862336	0.464271153137664
9	-56.38	-237.67	181.29	1	0.397435897435897	0.602564102564103	0.397435897435897	0.602564102564103	0.2	0.8	0.2	0.8
11	41.51	28.1	13.41	2	0.735934252786699	0.264065747213301	0.735934252786699	0.264065747213301	0.396630601749816	0.603369398250184	0.396630601749816	0.603369398250184
12	-28.62	24.93	-53.55	2	0.379963972815852	0.620036027184148	0.379963972815852	0.620036027184148	0.694444444444444	0.305555555555556	0.694444444444444	0.305555555555556
13	13.92	19.23	-5.31	2	0.762894321766562	0.237105678233438	0.237105678233438	0.762894321766562	0.613415842429833	0.386584157570167	0.386584157570167	0.613415842429833
14	39.19	142.01	-102.82	2	0.50465543243066	0.49534456756934	0.49534456756934	0.50465543243066	0.603346827339484	0.396653172660516	0.396653172660516	0.603346827339484
16	5.832	-15.64	21.472	1	0.43644725177305	0.56355274822695	0.43644725177305	0.56355274822695	0.345004330793913	0.654995669206087	0.345004330793913	0.654995669206087
17	27.24	4.017	23.223	1	0.594502407704655	0.405497592295345	0.405497592295345	0.594502407704655	0.59966838614591	0.40033161385409	0.40033161385409	0.59966838614591
19	-55.14	-38.15	-16.99	2	0.603690734927151	0.396309265072849	0.603690734927151	0.396309265072849	0.358937683624555	0.641062316375445	0.358937683624555	0.641062316375445
20	0.5295	164.53	-164.0005	2	0.655639976621859	0.344360023378141	0.655639976621859	0.344360023378141	0.752570515134327	0.247429484865673	0.752570515134327	0.247429484865673
21	21.29	6.948	14.342	1	0.398399580217762	0.601600419782238	0.398399580217762	0.601600419782238	0.424666516786571	0.575333483213429	0.424666516786571	0.575333483213429
22	10.84	-12.5	23.34	1	0.441251814533345	0.558748185466655	0.441251814533345	0.558748185466655	0.539974724210427	0.460025275789573	0.0658646918479673	0.934135308152033
23	-14.31	-29.73	15.42	1	0.619402985074627	0.380597014925373	0.619402985074627	0.380597014925373	0.569493835941204	0.430506164058796	0.569493835941204	0.430506164058796
24	49.4	31.67	17.73	1	0.352228682170543	0.647771317829457	0.647771317829457	0.352228682170543	0.370041039671683	0.629958960328317	0.629958960328317	0.370041039671683
26	70.05	-83.32	153.37	1	0.598523748395379	0.401476251604621	0.401476251604621	0.598523748395379	0.532924145817451	0.467075854182549	0.467075854182549	0.532924145817451
27	-24.8	147.62	-172.42	2	0.5	0.5	0.5	0.5	0.476076567698731	0.523923432301269	0.523923432301269	0.476076567698731
28	-39.64	-69.84	30.2	1	0.767094017094017	0.232905982905983	0.767094017094017	0.232905982905983	0.416122124597112	0.583877875402887	0.416122124597112	0.583877875402887
29	67.83	13.19	54.64	1	0.482225913621262	0.517774086378738	0.482225913621262	0.517774086378738	0.52288386755767	0.47711613244233	0.52288386755767	0.47711613244233
30	-8.211	-38.33	30.119	1	0.821391884951207	0.178608115048793	0.178608115048793	0.821391884951207	0.631153611570968	0.368846388429032	0.368846388429032	0.631153611570968
31	-159.99	120.9	-280.89	2	0.556623327680422	0.443376672319578	0.556623327680422	0.443376672319578	0.510021833279645	0.489978166720355	0.510021833279645	0.489978166720355
32	-35.5	-11.36	-24.14	2	0.563716228981674	0.436283771018326	0.436283771018326	0.563716228981674	0.482999167063303	0.517000832936697	0.517000832936697	0.482999167063303
33	-29.44	101.47	-130.91	2	0.7247310623039	0.2752689376961	0.2752689376961	0.7247310623039	0.801086735981551	0.198913264018449	0.198913264018449	0.801086735981551
34	9.253	-8.403	17.656	1	0.482852839931153	0.517147160068847	0.517147160068847	0.482852839931153	0.54884752865771	0.45115247134229	0.45115247134229	0.54884752865771
35	66.97	58.36	8.61	2	0.546016829922221	0.453983170077779	0.453983170077779	0.546016829922221	0.517644950511428	0.482355049488572	0.482355049488572	0.517644950511428
37	67.77	-27.18	94.95	1	0.480662286217842	0.519337713782158	0.519337713782158	0.480662286217842	0.626416392690573	0.373583607309427	0.373583607309427	0.626416392690573
38	-18.37	80.48	-98.85	2	0.492898925441009	0.507101074558991	0.507101074558991	0.492898925441009	0.443344319987394	0.556655680012606	0.556655680012606	0.443344319987394
