ID	SocialSL	ControlSL	DiffSocCon	MedianGroups	relCirPre.mean	relTriPre.mean	relSocPre.mean	relConPre.mean	relCirPost.mean	relTriPost.mean	relSocPost.mean	relConPost.mean
2	1302.083333	1316.666667	14.58333333	2	0.612487672583826	0.387512327416174	0.387512327416174	0.612487672583826	0.656590846117031	0.343409153882969	0.343409153882969	0.656590846117031
3	1058.333333	1376.388889	318.0555556	1	0.659919028340081	0.340080971659919	0.340080971659919	0.659919028340081	0.569615414022479	0.430384585977521	0.430384585977521	0.569615414022479
36	1050.757576	1260.833333	210.0757576	1	NA	NA	NA	NA	0.692094593037989	0.307905406962011	0.692094593037989	0.307905406962011
5	725.7575758	1394.444444	668.6868687	1	0.54465142107123	0.45534857892877	0.54465142107123	0.45534857892877	0.571135411948494	0.428864588051506	0.571135411948494	0.428864588051506
6	1259.848485	1238.194444	-21.6540404	2	0.490084670231729	0.509915329768271	0.490084670231729	0.509915329768271	0.718422169668304	0.281577830331696	0.718422169668304	0.281577830331696
7	1153.030303	1113.888889	-39.14141414	2	0.487619528244385	0.512380471755615	0.512380471755615	0.487619528244385	0.668989547038328	0.331010452961672	0.331010452961672	0.668989547038328
8	1060.606061	1277.272727	216.6666667	1	0.684368289191124	0.315631710808876	0.684368289191124	0.315631710808876	0.535728846862336	0.464271153137664	0.535728846862336	0.464271153137664
9	1597.916667	1245.454545	-352.4621212	2	0.397435897435897	0.602564102564103	0.397435897435897	0.602564102564103	0.2	0.8	0.2	0.8
11	965.2777778	1193.055556	227.7777778	1	0.735934252786699	0.264065747213301	0.735934252786699	0.264065747213301	0.396630601749816	0.603369398250184	0.396630601749816	0.603369398250184
12	816.6666667	1295.833333	479.1666667	1	0.379963972815852	0.620036027184148	0.379963972815852	0.620036027184148	0.694444444444444	0.305555555555556	0.694444444444444	0.305555555555556
13	1278.030303	1223.611111	-54.41919192	2	0.762894321766562	0.237105678233438	0.237105678233438	0.762894321766562	0.613415842429833	0.386584157570167	0.386584157570167	0.613415842429833
14	1149.305556	1415.277778	265.9722222	1	0.50465543243066	0.49534456756934	0.49534456756934	0.50465543243066	0.603346827339484	0.396653172660516	0.396653172660516	0.603346827339484
16	1254.861111	1217.424242	-37.43686869	2	0.43644725177305	0.56355274822695	0.43644725177305	0.56355274822695	0.345004330793913	0.654995669206087	0.345004330793913	0.654995669206087
17	1318.181818	1320.833333	2.651515152	2	0.594502407704655	0.405497592295345	0.405497592295345	0.594502407704655	0.59966838614591	0.40033161385409	0.40033161385409	0.59966838614591
19	1218.055556	1069.444444	-148.6111111	2	0.603690734927151	0.396309265072849	0.603690734927151	0.396309265072849	0.358937683624555	0.641062316375445	0.358937683624555	0.641062316375445
20	1003.472222	1272.222222	268.75	1	0.655639976621859	0.344360023378141	0.655639976621859	0.344360023378141	0.752570515134327	0.247429484865673	0.752570515134327	0.247429484865673
21	587.8787879	1483.333333	895.4545455	1	0.398399580217762	0.601600419782238	0.398399580217762	0.601600419782238	0.424666516786571	0.575333483213429	0.424666516786571	0.575333483213429
22	1288.194444	1293.055556	4.861111111	2	0.441251814533345	0.558748185466655	0.441251814533345	0.558748185466655	0.539974724210427	0.460025275789573	0.0658646918479673	0.934135308152033
23	1273.333333	1265.972222	-7.361111111	2	0.619402985074627	0.380597014925373	0.619402985074627	0.380597014925373	0.569493835941204	0.430506164058796	0.569493835941204	0.430506164058796
24	1393.181818	1285.606061	-107.5757576	2	0.352228682170543	0.647771317829457	0.647771317829457	0.352228682170543	0.370041039671683	0.629958960328317	0.629958960328317	0.370041039671683
26	791.6666667	1432.575758	640.9090909	1	0.598523748395379	0.401476251604621	0.401476251604621	0.598523748395379	0.532924145817451	0.467075854182549	0.467075854182549	0.532924145817451
27	729.5454545	1371.527778	641.9823232	1	0.5	0.5	0.5	0.5	0.476076567698731	0.523923432301269	0.523923432301269	0.476076567698731
28	1147.222222	1252.272727	105.0505051	1	0.767094017094017	0.232905982905983	0.767094017094017	0.232905982905983	0.416122124597112	0.583877875402887	0.416122124597112	0.583877875402887
29	1361.805556	1398.333333	36.52777778	2	0.482225913621262	0.517774086378738	0.482225913621262	0.517774086378738	0.52288386755767	0.47711613244233	0.52288386755767	0.47711613244233
